fid,CMUN,CDENTIDAD,CDNUCLEO,CDTNUCLEO,ETIQUETA,DESCR,BUSCA,POB,Poblacion_Total,avg_dis_B_d,avg_dis_B_t,avg_dis_B_total,avg_dis_H2_d,avg_dis_H2_t,avg_dis_H2_total,avg_dis_H3_d,avg_dis_H3_t,avg_dis_H3_total,avg_dis_J_d,avg_dis_J_t,avg_dis_J_total,avg_dis_M_d,avg_dis_M_t,avg_dis_M_total,avg_dis_d,avg_dis_t,avg_dis_total,avg_dur_B_d,avg_dur_B_t,avg_dur_B_total,avg_dur_H2_d,avg_dur_H2_t,avg_dur_H2_total,avg_dur_H3_d,avg_dur_H3_t,avg_dur_H3_total,avg_dur_J_d,avg_dur_J_t,avg_dur_J_total,avg_dur_M_d,avg_dur_M_t,avg_dur_M_total,avg_dur_d,avg_dur_t,avg_dur_total,dis_B_d_n,dis_B_d_p,dis_B_t_n,dis_B_t_p,dis_H21_d_n,dis_H21_d_p,dis_H21_t_n,dis_H21_t_p,dis_H22_d_n,dis_H22_d_p,dis_H22_t_n,dis_H22_t_p,dis_H23_d_n,dis_H23_d_p,dis_H23_t_n,dis_H23_t_p,dis_H24_d_n,dis_H24_d_p,dis_H24_t_n,dis_H24_t_p,dis_H31_d_n,dis_H31_d_p,dis_H31_t_n,dis_H31_t_p,dis_H32_d_n,dis_H32_d_p,dis_H32_t_n,dis_H32_t_p,dis_H33_d_n,dis_H33_d_p,dis_H33_t_n,dis_H33_t_p,dis_J_d_n,dis_J_d_p,dis_J_t_n,dis_J_t_p,dis_M_d_n,dis_M_d_p,dis_M_t_n,dis_M_t_p,dur_B_d_n,dur_B_d_p,dur_B_t_n,dur_B_t_p,dur_H21_d_n,dur_H21_d_p,dur_H21_t_n,dur_H21_t_p,dur_H22_d_n,dur_H22_d_p,dur_H22_t_n,dur_H22_t_p,dur_H23_d_n,dur_H23_d_p,dur_H23_t_n,dur_H23_t_p,dur_H24_d_n,dur_H24_d_p,dur_H24_t_n,dur_H24_t_p,dur_H31_d_n,dur_H31_d_p,dur_H31_t_n,dur_H31_t_p,dur_H32_d_n,dur_H32_d_p,dur_H32_t_n,dur_H32_t_p,dur_H33_d_n,dur_H33_d_p,dur_H33_t_n,dur_H33_t_p,dur_J_d_n,dur_J_d_p,dur_J_t_n,dur_J_t_p,dur_M_d_n,dur_M_d_p,dur_M_t_n,dur_M_t_p,w_avg_dis_B_d,w_avg_dis_B_t,w_avg_dis_B_total,w_avg_dis_H2_d,w_avg_dis_H2_t,w_avg_dis_H2_total,w_avg_dis_H3_d,w_avg_dis_H3_t,w_avg_dis_H3_total,w_avg_dis_J_d,w_avg_dis_J_t,w_avg_dis_J_total,w_avg_dis_M_d,w_avg_dis_M_t,w_avg_dis_M_total,w_avg_dis_d,w_avg_dis_t,w_avg_dis_total,w_avg_dur_B_d,w_avg_dur_B_t,w_avg_dur_B_total,w_avg_dur_H2_d,w_avg_dur_H2_t,w_avg_dur_H2_total,w_avg_dur_H3_d,w_avg_dur_H3_t,w_avg_dur_H3_total,w_avg_dur_J_d,w_avg_dur_J_t,w_avg_dur_J_total,w_avg_dur_M_d,w_avg_dur_M_t,w_avg_dur_M_total,w_avg_dur_d,w_avg_dur_t,w_avg_dur_total
238,"164","03","01","1640301","Cueva, La",La Cueva,La Cueva Núcleo,79,"79",44266.75,48131.5,44266.75,22039.75,21634.5,22039.75,38369.375,35985,38369.375,29209.5,32377,29209.5,25701.75,24487.5,25701.75,32992.75,33100.0833333333,32992.75,4755,7430.5,4755,2724.25,4036,2724.25,3582.75,5096.75,3582.75,3489.75,5537,3489.75,3153.75,4749,3153.75,3548.04166666667,5324.33333333333,3548.04166666667,40402,40402,66869,29394,22445,22445,21767,21502,,,,,,,,,,,,,39031,45221,34223,34171,36702,42061,39410,36136,,,,,26042,26042,32403,32351,26916,26916,24381,24594,2093,2066,10541,4320,1308,1517,5766,2306,,,,,,,,,,,,,1854,2159,6511,2868,2005,2257,7267,3741,,,,,1308,1577,7283,3791,1388,1729,6609,2889,3497073.25,3802388.5,3497073.25,1741140.25,1709125.5,1741140.25,3031180.625,2842815,3031180.625,2307550.5,2557783,2307550.5,2030438.25,1934512.5,2030438.25,2606427.25,2614906.58333333,2606427.25,375645,587009.5,375645,215215.75,318844,215215.75,283037.25,402643.25,283037.25,275690.25,437423,275690.25,249146.25,375171,249146.25,280295.291666667,420622.333333333,280295.291666667
239,"164","04","01","1640401","Escarabajosa, La",La Escarabajosa,La Escarabajosa Núcleo,68,"68",37552.25,37321.5,37552.25,20082.5,20339,20082.5,34592,33936.5,34592,23732.5,24042,23732.5,23723,23148,23723,29045.7083333333,28787.25,29045.7083333333,4491.75,7010.5,4491.75,2238.75,3168,2238.75,3445.625,4850,3445.625,2924.25,4508,2924.25,2613.75,3762,2613.75,3193.29166666667,4691.41666666667,3193.29166666667,37783,37783,44840,29803,19826,19826,20339,20339,,,,,,,,,,,,,36412,36412,31389,31389,34083,34083,36484,36484,,,,,23423,23423,24042,24042,24298,24298,23148,23148,1971,1975,8121,5900,1187,1432,3168,3168,,,,,,,,,,,,,1741,2155,4335,4335,1881,2388,5365,5365,,,,,1191,1490,4508,4508,1270,1661,3762,3762,2553553,2537862,2553553,1365610,1383052,1365610,2352256,2307682,2352256,1613810,1634856,1613810,1613164,1574064,1613164,1975108.16666667,1957533,1975108.16666667,305439,476714,305439,152235,215424,152235,234302.5,329800,234302.5,198849,306544,198849,177735,255816,177735,217143.833333333,319016.333333333,217143.833333333
240,"123","07","01","1230701",Rivas - Vaciamadrid,Rivas - Vaciamadrid,Rivas - Vaciamadrid Núcleo,16031,"16031",13438.5,13581,13438.5,14789.5,14847,14789.5,18809.25,17877,18809.25,7427,6955,7427,3871.5,4946,3871.5,11667.15,11641.2,11667.15,1764,2601,1764,2049.25,2934.5,2049.25,2133,2991,2133,1192.5,1843.5,1192.5,697,1004,697,1567.15,2274.8,1567.15,13296,13296,13581,13581,14732,14732,14847,14847,,,,,,,,,,,,,18383,21100,17877,17877,,,,,,,,,7899,7899,7908,6002,2797,2797,4946,4946,924,930,2631,2571,1112,1216,2939,2930,,,,,,,,,,,,,1136,1414,3021,2961,,,,,,,,,541,542,1718,1969,388,392,929,1079,215432593.5,217717011,215432593.5,237090474.5,238012257,237090474.5,301531086.75,286586187,301531086.75,119062237,111495605,119062237,62064016.5,79289326,62064016.5,187036081.65,186620077.2,187036081.65,28278684,41696631,28278684,32851526.75,47042969.5,32851526.75,34194123,47948721,34194123,19116967.5,29553148.5,19116967.5,11173607,16095124,11173607,25122981.65,36467318.8,25122981.65
241,"127","15","01","1271501","Matas-Pinar-Monte Rozas, Las",Las Matas-Pinar-Monte Rozas,Las Matas-Pinar-Monte Rozas Núcleo,46324,"46324",6833.5,8182,6833.5,25532.5,29311,25532.5,23521.6666666667,25006.6666666667,23521.6666666667,9034,10277,9034,13684.75,15068.5,13684.75,17949.9642857143,19694.0714285714,17949.9642857143,1611.75,2543.5,1611.75,3937,6421.5,3937,3013.41666666667,4402.16666666667,3013.41666666667,2094.5,3474.5,2094.5,2254,3606.5,2254,2705.35714285714,4178.92857142857,2705.35714285714,5485,5485,8182,8182,21754,21754,27807,30815,,,,,,,,,,,,,25999,25999,28600,27621,25916,25916,28757,27778,14195,14195,18084,19200,7791,7791,10277,10277,12301,12301,15379,14758,672,688,2982,2105,1467,1438,6363,6480,,,,,,,,,,,,,1537,2066,4297,4536,1578,2052,4452,4691,1175,1340,4248,4189,705,724,3911,3038,860,943,3712,3501,316555054,379022968,316555054,1182767530,1357802764,1182767530,1089617686.66667,1158408826.66667,1089617686.66667,418491016,476071748,418491016,633932359,698033194,633932359,831514145.571429,912308164.857143,831514145.571429,74662707,117825094,74662707,182377588,297469566,182377588,139593513.666667,203925968.666667,139593513.666667,97025618,160952738,97025618,104414296,167067506,104414296,125322964.285714,193584687.142857,125322964.285714
242,"117","01","01","1170101",Prádena del Rincón,Prádena del Rincón,Prádena del Rincón Núcleo,137,"137",37659.5,42369,37659.5,74220.75,78279.5,74220.75,81482,77574.5,81482,18240.5,19644,18240.5,87091.75,103720.5,87091.75,63362.75,66527,63362.75,6629.75,10910,6629.75,6479,9812.5,6479,6757.875,9703,6757.875,2689.75,4082,2689.75,7880.5,12429,7880.5,6199.125,9439.91666666667,6199.125,32950,32950,38937,45801,70162,70162,71689,84870,,,,,,,,,,,,,86554,86554,82738,70446,84225,84225,84703,72411,,,,,16837,16837,18389,20899,70463,70463,107969,99472,2370,2329,8960,12860,3120,3171,7654,11971,,,,,,,,,,,,,3659,3828,8521,10021,3798,3966,9270,11000,,,,,1312,1283,3602,4562,3355,3309,11179,13679,5159351.5,5804553,5159351.5,10168242.75,10724291.5,10168242.75,11163034,10627706.5,11163034,2498948.5,2691228,2498948.5,11931569.75,14209708.5,11931569.75,8680696.75,9114199,8680696.75,908275.75,1494670,908275.75,887623,1344312.5,887623,925828.875,1329311,925828.875,368495.75,559234,368495.75,1079628.5,1702773,1079628.5,849280.125,1293268.58333333,849280.125
243,"055","02","01","0550201",Cuatro Caminos,Cuatro Caminos,Cuatro Caminos Núcleo,26,"26",45792.5,46630,45792.5,71696.75,74609.5,71696.75,74665.75,76186.5,74665.75,51810.5,51981,51810.5,46582,47464,46582,58109.5,59374.2,58109.5,3750.25,5475.5,3750.25,5953.75,8783.5,5953.75,5827.5,8537,5827.5,4165.5,6209.5,4165.5,3854.75,5505,3854.75,4710.35,6902.1,4710.35,44955,44955,46673,46587,68784,68784,79198,70021,,,,,,,,,,,,,73145,73145,75169,77204,,,,,,,,,51640,51640,51991,51971,45700,45700,46982,47946,2026,2024,6590,4361,3096,3152,10430,7137,,,,,,,,,,,,,3063,3173,10262,6812,,,,,,,,,2104,2139,7586,4833,2206,2203,6546,4464,1190605,1212380,1190605,1864115.5,1939847,1864115.5,1941309.5,1980849,1941309.5,1347073,1351506,1347073,1211132,1234064,1211132,1510847,1543729.2,1510847,97506.5,142363,97506.5,154797.5,228371,154797.5,151515,221962,151515,108303,161447,108303,100223.5,143130,100223.5,122469.1,179454.6,122469.1
244,"123","18","01","1231801","Partija - Santa Mónica, La",La Partija - Santa Mónica,La Partija - Santa Mónica Núcleo,83779,"83779",15722.5,16240,15722.5,12932.25,13411.5,12932.25,18406,19373,18406,9457.75,9150.5,9457.75,1706,1904,1706,11644.9,12015.8,11644.9,2356.5,3657.5,2356.5,2075.75,3081.5,2075.75,2170.25,3180.5,2170.25,2069.75,3416.5,2069.75,372.5,526,372.5,1808.95,2772.4,1808.95,15205,15205,16291,16189,12453,12453,12946,13877,,,,,,,,,,,,,16104,18774,21058,17688,,,,,,,,,9765,9765,8982,9319,1508,1508,1904,1904,1041,1070,4016,3299,1009,1131,2966,3197,,,,,,,,,,,,,1033,1287,3061,3300,,,,,,,,,687,759,3541,3292,214,224,511,541,1317215327.5,1360570960,1317215327.5,1083450972.75,1123602058.5,1083450972.75,1542036274,1623050567,1542036274,792360837.25,766619739.5,792360837.25,142926974,159515216,142926974,975598077.1,1006671708.2,975598077.1,197425213.5,306421692.5,197425213.5,173904259.25,258164988.5,173904259.25,181821374.75,266459109.5,181821374.75,173401585.25,286230953.5,173401585.25,31207677.5,44067754,31207677.5,151552022.05,232268899.6,151552022.05
245,"055","02","02","0550202",Estremera,Estremera,Estremera Núcleo,1113,"1113",45058,45783,45058,70962.5,73763,70962.5,73930.75,75339.5,73930.75,51075.75,51134.5,51075.75,45847.5,46617,45847.5,57374.9,58527.4,57374.9,3399.75,4906.5,3399.75,5600.5,8214.5,5600.5,5477.25,7968,5477.25,3820.25,5640.5,3820.25,3504.75,4936,3504.75,4360.5,6333.1,4360.5,44333,44333,45664,45902,68162,68162,78190,69336,,,,,,,,,,,,,72522,72522,74160,76519,,,,,,,,,51017,51017,50983,51286,45078,45078,45973,47261,1889,1897,5973,3840,2957,3016,9813,6616,,,,,,,,,,,,,2937,3036,9645,6291,,,,,,,,,1987,2013,6969,4312,2071,2076,5929,3943,50149554,50956479,50149554,78981262.5,82098219,78981262.5,82284924.75,83852863.5,82284924.75,56847309.75,56912698.5,56847309.75,51028267.5,51884721,51028267.5,63858263.7,65140996.2,63858263.7,3783921.75,5460934.5,3783921.75,6233356.5,9142738.5,6233356.5,6096179.25,8868384,6096179.25,4251938.25,6277876.5,4251938.25,3900786.75,5493768,3900786.75,4853236.5,7048740.3,4853236.5
246,"055","04","01","0550401",Peña Rubia,Peña Rubia,Peña Rubia Núcleo,162,"162",43803,46035,43803,67439.75,69479.5,67439.75,73211.5,76663,73211.5,49939,51622,49939,44956.5,47597,44956.5,55869.95,58279.3,55869.95,4957,8200,4957,7198,11573,7198,7009.75,11188,7009.75,5405,8983.5,5405,5111.5,8331,5111.5,5936.25,9655.1,5936.25,41571,41571,50340,41730,65400,65400,73774,65185,,,,,,,,,,,,,69760,69760,80957,72369,,,,,,,,,48256,48256,55724,47520,42316,42316,51699,43495,1703,1725,10837,5563,2793,2853,13853,9293,,,,,,,,,,,,,2775,2888,13408,8968,,,,,,,,,1803,1850,11309,6658,1881,1903,10940,5722,7096086,7457670,7096086,10925239.5,11255679,10925239.5,11860263,12419406,11860263,8090118,8362764,8090118,7282953,7710714,7282953,9050931.9,9441246.6,9050931.9,803034,1328400,803034,1166076,1874826,1166076,1135579.5,1812456,1135579.5,875610,1455327,875610,828063,1349622,828063,961672.5,1564126.2,961672.5
247,"092","03","01","0920301",Pinares Llanos,Pinares Llanos,Pinares Llanos Núcleo,208,"208",3990,3633,3990,8301,8522.875,8301,,,,1605.5,1445,1605.5,6350.5,6774,6350.5,6450,6563.35714285714,6450,735.75,953,735.75,1301.9375,1886.125,1301.9375,,,,453.5,696.5,453.5,1331.75,1840,1331.75,1104.10714285714,1576.28571428571,1104.10714285714,4347,4347,3633,3633,4941,4941,4767,4767,8046,8046,8567,12428,5824,5499,4651,5635,13668,13668,13684,13684,,,,,,,,,,,,,1766,1766,1445,1445,5927,5927,6774,6774,525,512,953,953,669,659,1209,1209,797,781,2059,2420,643,587,1041,1679,780,826,2766,2706,,,,,,,,,,,,,187,234,700,693,844,803,1840,1840,829920,755664,829920,1726608,1772758,1726608,,,,333944,300560,333944,1320904,1408992,1320904,1341600,1365178.28571429,1341600,153036,198224,153036,270803,392314,270803,,,,94328,144872,94328,277004,382720,277004,229654.285714286,327867.428571429,229654.285714286
248,"092","04","01","0920401",Parque Guadarrama,Parque Guadarrama,Parque Guadarrama Núcleo,1495,"1495",8872.5,9783,8872.5,12793.3125,12602.875,12793.3125,,,,11984.5,13787,11984.5,11551,12172,11551,11940.1785714286,12307.6428571429,11940.1785714286,1709.25,2399,1709.25,2174.9375,3214.875,2174.9375,,,,2545,3956.5,2545,1776.25,2500,1776.25,2104.32142857143,3102.14285714286,2104.32142857143,7962,7962,9783,9783,7862,7862,7871,7871,13839,13839,15532,14679,11291,11291,12496,12496,18943,18943,14939,14939,,,,,,,,,,,,,10182,10182,14605,12969,10930,10930,12172,12172,1051,988,2470,2328,930,970,2305,2197,1201,1235,3271,3883,1025,1051,3218,3291,1317,1351,3861,3693,,,,,,,,,,,,,1128,1139,4370,3543,1052,1053,2475,2525,13264387.5,14625585,13264387.5,19126002.1875,18841298.125,19126002.1875,,,,17916827.5,20611565,17916827.5,17268745,18197140,17268745,17850566.9642857,18399926.0714286,17850566.9642857,2555328.75,3586505,2555328.75,3251531.5625,4806238.125,3251531.5625,,,,3804775,5914967.5,3804775,2655493.75,3737500,2655493.75,3145960.53571429,4637703.57142857,3145960.53571429
249,"153","04","01","1530401","Cerrada, La",La Cerrada,La Cerrada Núcleo,22,"22",8859,10797,8859,46798.25,47530.5,46798.25,60428.375,59562.25,60428.375,34939.75,37623.5,34939.75,61214,76061,61214,45444.625,48522.75,45444.625,1499,2448,1499,4442.25,6542,4442.25,5557.75,8123.25,5557.75,5280,8820,5280,6401,10303,6401,4789.625,7393.25,4789.625,6921,6921,10797,10797,46066,46066,47530,47531,,,,,,,,,,,,,62459,62459,58579,58581,60130,60130,60543,60546,,,,,32256,32256,29674,45573,46367,46367,65183,86939,557,543,2448,2448,2341,2344,7502,5582,,,,,,,,,,,,,2838,2984,8549,6749,2993,3154,9519,7676,,,,,1826,1654,8250,9390,2527,2471,11016,9590,194898,237534,194898,1029561.5,1045671,1029561.5,1329424.25,1310369.5,1329424.25,768674.5,827717,768674.5,1346708,1673342,1346708,999781.75,1067500.5,999781.75,32978,53856,32978,97729.5,143924,97729.5,122270.5,178711.5,122270.5,116160,194040,116160,140822,226666,140822,105371.75,162651.5,105371.75
250,"009","06","01","0090601",Prado Norte,Prado Norte,Prado Norte Núcleo,2208,"2208",41217.5,54493,41217.5,10644.5,11264,10644.5,24370.875,23295.25,24370.875,14295,14967,14295,14285,14073,14285,21530.625,23564.5833333333,21530.625,4563,7492,4563,1474,2019,1474,2546.125,3402.75,2546.125,2185.5,3389,2185.5,1871,2643,1871,2530.95833333333,3724.75,2530.95833333333,27942,27942,54493,54493,10025,10025,11264,11264,,,,,,,,,,,,,26611,26611,22313,22313,24282,24282,24277,24278,,,,,13623,13623,14967,14967,14497,14497,14073,14073,1631,1637,7552,7432,846,1012,1989,2049,,,,,,,,,,,,,1411,1776,2916,3036,1562,2009,3586,4073,,,,,855,1109,3329,3449,939,1259,2583,2703,91008240,120320544,91008240,23503056,24870912,23503056,53810892,51435912,53810892,31563360,33047136,31563360,31541280,31073184,31541280,47539620,52030600,47539620,10075104,16542336,10075104,3254592,4457952,3254592,5621844,7513272,5621844,4825584,7482912,4825584,4131168,5835744,4131168,5588356,8224248,5588356
251,"009","08","01","0090801",Santo Domingo,Santo Domingo,Santo Domingo Núcleo,3211,"3211",43319,54358,43319,9969.5,9894,9969.5,23812.125,22351.75,23812.125,13522.5,13597,13522.5,15170,14890,15170,21600.875,22907.0833333333,21600.875,4211,6778,4211,1045.25,1335,1045.25,2273.875,3076.25,2273.875,1662.75,2555,1662.75,1705.25,2339,1705.25,2195.33333333333,3193.25,2195.33333333333,32280,32280,54511,54205,10045,10045,9894,9894,,,,,,,,,,,,,26437,26437,20957,20951,24108,24108,24673,22826,,,,,13448,13448,13597,13597,15450,15450,14890,14890,1631,1657,6778,6778,736,775,1335,1335,,,,,,,,,,,,,1250,1507,2862,2442,1402,1727,3791,3210,,,,,701,840,2555,2555,975,1168,2489,2189,139097309,174543538,139097309,32012064.5,31769634,32012064.5,76460733.375,71771469.25,76460733.375,43420747.5,43659967,43420747.5,48710870,47811790,48710870,69360409.625,73554644.5833333,69360409.625,13521521,21764158,13521521,3356297.75,4286685,3356297.75,7301412.625,9877838.75,7301412.625,5339090.25,8204105,5339090.25,5475557.75,7510529,5475557.75,7049215.33333333,10253525.75,7049215.33333333
252,"009","11","01","0091101",Dehesa Nueva,Dehesa Nueva,Dehesa Nueva Núcleo,10,"10",23067.5,22052,23067.5,14786.75,16174.5,14786.75,31472,31235.25,31472,16980.5,16964,16980.5,17116.5,16362,17116.5,22482.5416666667,22337.1666666667,22482.5416666667,3798,5687,3798,2203.25,3028.5,2203.25,3206.125,4370.5,3206.125,2957,4504,2957,2512.25,3492,2512.25,2980.45833333333,4242.08333333333,2980.45833333333,24083,24083,22910,21194,13399,13399,19083,13266,,,,,,,,,,,,,29986,36176,32594,26034,27657,33016,38314,27999,,,,,16997,16997,16964,16964,17871,17871,16362,16362,1926,1892,6437,4937,1261,1495,2923,3134,,,,,,,,,,,,,1820,2142,4073,3754,1951,2254,4974,4681,,,,,1269,1551,4504,4504,1352,1713,3492,3492,230675,220520,230675,147867.5,161745,147867.5,314720,312352.5,314720,169805,169640,169805,171165,163620,171165,224825.416666667,223371.666666667,224825.416666667,37980,56870,37980,22032.5,30285,22032.5,32061.25,43705,32061.25,29570,45040,29570,25122.5,34920,25122.5,29804.5833333333,42420.8333333333,29804.5833333333
253,"180","01","01","1800101",Villarejo de Salvanés,Villarejo de Salvanés,Villarejo de Salvanés Núcleo,7710,"7710",22117.75,21979.5,22117.75,45728.25,45371.5,45728.25,52239,54033,52239,28131,27321,28131,22756.5,22512,22756.5,34194.5,34243.4,34194.5,1756.5,2419,1756.5,3751.5,5321,3751.5,3684.25,5189,3684.25,2087.5,2968.5,2087.5,1681.75,2093.5,1681.75,2592.3,3598.2,2592.3,22256,22256,21937,22022,46085,46085,45370,45373,,,,,,,,,,,,,50445,50445,55316,52750,,,,,,,,,28941,28941,27321,27321,23001,23001,22693,22331,1101,1087,2602,2236,2156,2208,5761,4881,,,,,,,,,,,,,2115,2244,5783,4595,,,,,,,,,1197,1216,2941,2996,1278,1262,2039,2148,170527852.5,169461945,170527852.5,352564807.5,349814265,352564807.5,402762690,416594430,402762690,216890010,210644910,216890010,175452615,173567520,175452615,263639595,264016614,263639595,13542615,18650490,13542615,28924065,41024910,28924065,28405567.5,40007190,28405567.5,16094625,22887135,16094625,12966292.5,16140885,12966292.5,19986633,27742122,19986633
254,"180","02","01","1800201","Hijosas, Las",Las Hijosas,Las Hijosas Núcleo,114,"114",43703.5,55472,43703.5,67088,78411,67088,74488,88851,74488,49738,60856,49738,44755,56830,44755,55954.5,68084,55954.5,4744.5,7911,4744.5,6864,11069,6864,6737,10792,6737,4964,8250,4964,4883,8005,4883,5638.5,9205.4,5638.5,31935,31935,55472,55472,55765,55765,78411,78411,,,,,,,,,,,,,60125,60125,88851,88851,,,,,,,,,38620,38620,60856,60856,32680,32680,56830,56830,1578,1578,7911,7911,2616,2702,11069,11069,,,,,,,,,,,,,2629,2735,10792,10792,,,,,,,,,1663,1693,8250,8250,1754,1768,8005,8005,4982199,6323808,4982199,7648032,8938854,7648032,8491632,10129014,8491632,5670132,6937584,5670132,5102070,6478620,5102070,6378813,7761576,6378813,540873,901854,540873,782496,1261866,782496,768018,1230288,768018,565896,940500,565896,556662,912570,556662,642789,1049415.6,642789
255,"134","03","01","1340301",Club de Campo,Club de Campo,Club de Campo Núcleo,3012,"3012",13391.25,13230.5,13391.25,7605.5,7473,7605.5,21803.875,20180.5,21803.875,11171.5,11192,11171.5,11588.5,11152,11588.5,14560.75,13901.4166666667,14560.75,1965,2912.5,1965,1215.5,1766.5,1215.5,2260.75,3170.5,2260.75,1876,3080.5,1876,1569.75,2350.5,1569.75,1857.95833333333,2741.83333333333,1857.95833333333,13552,13552,15072,11389,7738,7738,7757,7189,,,,,,,,,,,,,24139,24139,18817,19580,21810,23621,20781,21544,,,,,11151,11151,11492,10892,12025,12025,12304,10000,914,1121,2869,2956,641,688,1440,2093,,,,,,,,,,,,,1142,1425,2719,2832,1292,1545,3389,3742,,,,,587,756,2848,3313,671,907,2322,2379,40334445,39850266,40334445,22907766,22508676,22907766,65673271.5,60783666,65673271.5,33648558,33710304,33648558,34904562,33589824,34904562,43856979,41871067,43856979,5918580,8772450,5918580,3661086,5320698,3661086,6809379,9549546,6809379,5650512,9278466,5650512,4728087,7079706,4728087,5596170.5,8258402,5596170.5
256,"148","01","01","1480101",Torrejón de Ardoz,Torrejón de Ardoz,Torrejón de Ardoz Núcleo,139715,"139715",1207,1031,1207,9177.25,10179.5,9177.25,,,,3523.25,3848.5,3523.25,2007.75,2373.5,2007.75,5018.5,5522.4,5018.5,545.25,835,545.25,1789.125,2889.5,1789.125,,,,913.25,1376,913.25,839,1373,839,1175.15,1872.6,1175.15,1383,1383,1031,1031,13377,13377,16078,15641,2973,2973,3287,5712,,,,,,,,,,,,,,,,,,,,,3198,3198,3725,3972,1642,1642,3127,1620,246,265,835,835,904,914,3959,3822,482,455,1581,2196,,,,,,,,,,,,,,,,,,,,,436,465,1394,1358,316,294,1379,1367,168636005,144046165,168636005,1282199483.75,1422228842.5,1282199483.75,,,,492250873.75,537693177.5,492250873.75,280512791.25,331613552.5,280512791.25,701159727.5,771562116,701159727.5,76179603.75,116662025,76179603.75,249967599.375,403706492.5,249967599.375,,,,127594723.75,192247840,127594723.75,117220885,191828695,117220885,164186082.25,261630309,164186082.25
257,"168","02","01","1680201","Vellón, El",El Vellón,El Vellón Núcleo,1776,"1776",12916.5,15217,12916.5,30316,32793,30316,44337.375,45607.25,44337.375,23559.25,24093.5,23559.25,32581.25,37021.5,32581.25,31341.2916666667,33389.9166666667,31341.2916666667,2307.5,3734.5,2307.5,2814,4188,2814,3902.875,5676.25,3902.875,2826.25,4504,2826.25,4123,6651.5,4123,3312.75,5071.75,3312.75,10616,10616,19108,11326,27839,27839,32793,32793,,,,,,,,,,,,,44232,44232,43842,43842,41903,41903,45807,48938,,,,,23025,23025,24254,23933,28141,28141,41407,32636,927,834,6078,1391,1415,1465,4188,4188,,,,,,,,,,,,,1903,2159,5235,5235,2066,2390,6090,6145,,,,,1221,1076,4594,4414,1597,1592,7991,5312,22939704,27025392,22939704,53841216,58240368,53841216,78743178,80998476,78743178,41841228,42790056,41841228,57864300,65750184,57864300,55662134,59300492,55662134,4098120,6632472,4098120,4997664,7437888,4997664,6931506,10081020,6931506,5019420,7999104,5019420,7322448,11813064,7322448,5883444,9007428,5883444
258,"148","04","01","1480401","Castillo, El",El Castillo,El Castillo Núcleo,779,"779",2723.75,2618.5,2723.75,12858.125,13675.25,12858.125,,,,4561.5,4624,4561.5,5723.25,6598.5,5723.25,7744.95,8238.3,7744.95,685.75,953.5,685.75,2301.25,3677.5,2301.25,,,,1075.75,1569,1075.75,1497.25,2181.5,1497.25,1572.25,2411.8,1572.25,2829,2829,2532,2705,17869,17869,18421,17737,6213,6213,10631,7912,,,,,,,,,,,,,,,,,,,,,4499,4499,5496,3752,4848,4848,6262,6935,417,419,823,1084,1129,1153,4393,4561,716,702,2851,2905,,,,,,,,,,,,,,,,,,,,,574,591,1389,1749,826,800,2002,2361,2121801.25,2039811.5,2121801.25,10016479.375,10653019.75,10016479.375,,,,3553408.5,3602096,3553408.5,4458411.75,5140231.5,4458411.75,6033316.05,6417635.7,6033316.05,534199.25,742776.5,534199.25,1792673.75,2864772.5,1792673.75,,,,838009.25,1222251,838009.25,1166357.75,1699388.5,1166357.75,1224782.75,1878792.2,1224782.75
259,"161","01","01","1610101",Valdemoro,Valdemoro,Valdemoro Núcleo,83423,"83423",3269.5,3864,3269.5,24545.75,26180.25,24545.75,,,,2899.75,3040.5,2899.75,3988.5,5317,3988.5,11849.85,12916.4,11849.85,618.5,797.5,618.5,2503.25,3639.5,2503.25,,,,747.5,1062.5,747.5,841,1236,841,1442.7,2075,1442.7,2675,2675,4944,2784,23048,25273,28448,23756,20549,22775,25328,27189,,,,,,,,,,,,,,,,,,,,,2759,2759,2776,3305,2660,2660,5317,5317,467,412,800,795,1378,1435,3062,3434,1323,1332,3966,4096,,,,,,,,,,,,,,,,,,,,,458,407,987,1138,462,430,1236,1236,272751498.5,322346472,272751498.5,2047680102.25,2184034995.75,2047680102.25,,,,241905844.25,253647631.5,241905844.25,332732635.5,443560091,332732635.5,988550036.55,1077524837.2,988550036.55,51597125.5,66529842.5,51597125.5,208828624.75,303618008.5,208828624.75,,,,62358692.5,88636937.5,62358692.5,70158743,103110828,70158743,120354362.1,173102725,120354362.1
